Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,271.83,388.23,20.23,25.46,NA,NA,NA,1.26,40.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-02 00:00:00,216.70,370.03,22.51,23.74,NA,NA,NA,1.43,33.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-03 00:00:00,171.37,268.47,23.37,23.16,NA,NA,NA,1.49,31.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-04 00:00:00,178.71,270.21,22.79,23.97,NA,NA,NA,1.45,35.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-05 00:00:00,183.92,283.70,22.36,23.85,NA,NA,NA,1.42,33.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-06 00:00:00,193.14,287.87,22.01,24.18,NA,NA,NA,1.39,35.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-07 00:00:00,144.00,226.33,22.32,23.92,NA,NA,NA,1.41,34.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-08 00:00:00,144.23,248.66,22.31,24.04,NA,NA,NA,1.41,35.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-09 00:00:00,180.29,293.96,21.07,24.91,NA,NA,NA,1.32,38.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-10 00:00:00,155.22,245.29,22.00,24.18,NA,NA,NA,1.39,35.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-11 00:00:00,120.17,209.07,22.82,23.69,NA,NA,NA,1.45,33.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-12 00:00:00,128.47,247.51,23.18,23.56,NA,NA,NA,1.48,33.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-13 00:00:00,169.64,299.98,21.21,24.80,NA,NA,NA,1.33,38.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-14 00:00:00,141.31,258.46,21.76,24.46,NA,NA,NA,1.37,36.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-15 00:00:00,133.51,272.97,20.95,24.95,NA,NA,NA,1.31,38.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-16 00:00:00,102.74,228.47,21.41,24.72,NA,NA,NA,1.35,38.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-17 00:00:00,183.96,313.25,20.73,25.14,45.74,NA,NA,1.29,39.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-18 00:00:00,204.52,324.86,20.42,25.38,45.80,NA,NA,1.27,40.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-19 00:00:00,235.07,350.44,20.64,25.14,45.78,NA,NA,1.29,39.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-20 00:00:00,138.58,242.85,21.85,24.31,46.17,NA,NA,1.38,36.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-21 00:00:00,122.90,259.33,22.09,24.21,46.30,NA,NA,1.40,35.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-22 00:00:00,153.14,291.03,19.66,26.33,45.99,NA,NA,1.21,47.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-23 00:00:00,136.57,226.27,22.51,23.75,46.25,NA,NA,1.43,33.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-24 00:00:00,115.69,191.49,24.35,22.47,46.81,NA,NA,1.57,28.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-25 00:00:00,68.34,148.60,25.90,21.74,47.64,NA,NA,1.68,26.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-26 00:00:00,1.33,194.16,24.59,22.51,47.09,NA,NA,1.58,28.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-27 00:00:00,167.06,262.39,23.44,23.36,46.80,NA,NA,1.49,32.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-28 00:00:00,136.39,190.88,23.78,23.11,46.89,NA,NA,1.52,31.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-29 00:00:00,126.10,186.83,23.13,23.41,46.54,NA,NA,1.47,32.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-30 00:00:00,99.66,156.97,22.76,23.55,46.31,NA,NA,1.45,32.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-31 00:00:00,121.38,177.35,22.59,23.66,46.25,NA,NA,1.43,32.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-01 00:00:00,98.22,182.68,24.30,22.68,46.97,NA,NA,1.56,29.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-02 00:00:00,102.05,200.80,23.41,23.17,46.57,NA,NA,1.50,31.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-03 00:00:00,85.06,186.30,22.98,23.58,46.55,NA,NA,1.46,33.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-04 00:00:00,100.70,181.73,22.35,23.99,46.34,NA,NA,1.42,34.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-05 00:00:00,113.61,214.50,21.89,24.16,46.06,NA,NA,1.38,35.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-06 00:00:00,97.32,194.82,22.66,23.66,46.32,NA,NA,1.44,33.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-07 00:00:00,98.11,174.36,22.47,23.96,46.42,NA,NA,1.42,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-08 00:00:00,132.67,261.00,21.75,24.36,46.11,NA,NA,1.37,36.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-09 00:00:00,135.59,234.71,21.19,24.76,45.95,NA,NA,1.33,37.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-10 00:00:00,135.56,267.91,21.55,24.62,46.16,NA,NA,1.36,37.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-11 00:00:00,79.46,155.11,23.57,23.29,46.86,NA,NA,1.51,32.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-12 00:00:00,49.29,93.24,25.25,22.10,47.35,NA,NA,1.63,27.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-13 00:00:00,68.31,108.45,25.60,22.13,47.73,NA,NA,1.66,28.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-14 00:00:00,59.92,89.99,24.91,22.28,47.19,NA,NA,1.61,28.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-15 00:00:00,80.95,113.45,23.81,22.89,46.70,NA,NA,1.53,30.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
