Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,159.71,271.39,29.13,8.42,37.55,,,1.58,23.16,,,,,,,,,,,,0.0,,,
2024-01-02,169.18,260.73,27.01,15.83,42.62,,,1.11,19.94,,,,,,,,,,,,0.0,,,
2024-01-03,176.04,282.83,30.61,23.08,53.58,,,0.77,11.05,,,,,,,,,,,,0.0,,,
2024-01-04,184.63,294.51,33.27,13.87,47.1,,,0.62,7.59,,,,,,,,,,,,0.0,,,
2024-01-05,133.0,209.96,30.82,19.66,50.43,,,1.06,11.22,,,,,,,,,,,,0.0,,,
2024-01-06,137.15,210.99,30.13,20.59,50.7,,,1.21,18.9,,,,,,,,,,,,0.0,,,
2024-01-07,110.31,175.66,33.51,20.59,53.61,,,0.78,22.31,,,,,,,,,,,,0.0,,,
2024-01-08,209.98,367.15,76.71,23.53,97.74,,,1.67,20.67,,,,,,,,,,,,0.0,,,
2024-01-09,115.58,199.71,24.01,18.48,42.5,,,1.27,17.06,,,,,,,,,,,,0.0,,,
2024-01-10,135.46,228.45,16.51,16.43,35.09,,,0.85,18.07,,,,,,,,,,,,0.0,,,
2024-01-11,163.19,258.38,19.62,20.3,39.93,,,0.45,22.94,,,,,,,,,,,,0.0,,,
2024-01-12,160.35,244.7,28.58,16.19,46.17,,,0.91,24.49,,,,,,,,,,,,0.0,,,
2024-01-13,366.65,569.42,80.85,26.79,98.99,,,2.14,35.84,,,,,,,,,,,,0.0,,,
2024-01-14,360.84,503.86,95.7,16.1,106.35,,,1.45,35.42,,,,,,,,,,,,0.0,,,
2024-01-15,143.26,218.98,85.01,16.65,97.97,,,1.04,23.82,,,,,,,,,,,,0.0,,,
2024-01-16,213.07,331.93,108.71,26.21,123.05,,,0.33,12.23,,,,,,,,,,,,0.0,,,
2024-01-17,196.49,323.03,17.99,19.24,37.37,,,0.15,14.91,,,,,,,,,,,,0.0,,,
2024-01-18,124.22,201.53,29.19,21.47,50.67,,,1.15,18.19,,,,,,,,,,,,0.0,,,
2024-01-19,136.34,211.07,22.17,16.89,39.19,,,1.67,14.43,,,,,,,,,,,,0.0,,,
2024-01-20,164.27,279.78,19.68,18.95,38.72,,,1.47,18.63,,,,,,,,,,,,0.0,,,
2024-01-21,133.43,223.05,20.19,17.0,37.18,,,1.3,15.11,,,,,,,,,,,,0.0,,,
2024-01-22,167.59,285.15,14.59,17.78,32.43,,,0.45,20.44,,,,,,,,,,,,0.0,,,
2024-01-23,178.68,304.91,14.33,21.21,35.54,,,0.67,21.49,,,,,,,,,,,,0.0,,,
2024-01-24,248.29,414.08,47.56,19.89,66.04,,,1.39,15.55,,,,,,,,,,,,0.0,,,
2024-01-25,156.09,265.98,48.8,19.5,67.95,,,1.22,16.96,,,,,,,,,,,,0.0,,,
2024-01-26,245.2,430.54,147.6,29.22,163.08,,,2.41,24.34,,,,,,,,,,,,0.0,,,
2024-01-27,164.19,293.91,89.66,21.41,110.48,,,1.78,26.0,,,,,,,,,,,,0.0,,,
2024-01-28,217.51,417.72,164.44,25.44,186.44,,,2.3,17.11,,,,,,,,,,,,0.0,,,
2024-01-29,159.34,267.64,25.56,28.41,53.76,,,1.48,21.72,,,,,,,,,,,,0.0,,,
2024-01-30,184.61,304.75,24.2,39.07,63.28,,,2.91,13.8,,,,,,,,,,,,0.0,,,
2024-01-31,219.26,328.12,67.06,52.49,119.54,,,3.73,11.81,,,,,,,,,,,,0.0,,,
2024-02-01,55.72,100.05,10.03,32.17,42.21,,,1.7,17.18,,,,,,,,,,,,0.0,,,
2024-02-02,90.4,167.74,38.67,38.7,77.36,,,2.17,13.23,,,,,,,,,,,,0.0,,,
